Title,Author,Series
Curvy Girls Don't Date Quarterbacks,,The Curvy Girl Club #1
Date the Alphabet,Laura Langa,
Death Masks,,The Dresden Files #5
Den of Vipers,K.A. Knight,
Destroy Me ,Taherah Mafi,Shatter Me Series #1.5
Dial P for Poison,Zara Keane,Movie Club Mysteries #1
Disorderly Conduct,,The Academy #1
Double Pucked,Lauren Blakely,
Encore,Bea Paige,Academy of Stardom #5
Eyes on Me,Sara Cate,Salacious Players Club #2
Faded in Bloom,Julia Wolf,
Fake and Don't Tell,Rebel Bloom,
Faking with Benefits,Lily Gold,
Finale,Bea Paige,Academy of Stardom #4
Finding You,Lena Hendrix,Chikalu Falls #1
"Fine Print, The",Lauren Asher,Dreamland Billionaires #1
First Down,,Beyond the Play Book #1
Fix Her Up,Tessa Bailey,Hot & Hammered #1
Flashpoint,Skye Jordan,Forged in Fire
Float Plan,Trish Doller,
Follow,,
Fool Moon,,The Dresden Files #2
For the Love of Cupidity,Raven Kennedy,Heart Hassle #4
Forbidden Part One,Emilia Emerson,Luna & Sol Omegaverse #1
Forbidden Part Two,Emilia Emerson,Luna & Sol Omegaverse #2
Foundation,Lainey Davis,Brady Family #1
Four Pucking Christmasas,Emma Foxx,Chicago Racketeers #2
Fracture Me,Taherah Mafi,Shatter Me Series #2.5
Freestyle,Bea Paige,Academy of Stardom #1
Frost ,C.N. Crawford,Frost and Nectar #1
Frostbite,,Vampire Academy #2
Getaway Girl,Tessa Bailey,Girl #1
Give Me More,Sara Cate,Salacious Players Club #3
Grave Peril,,The Dresden Files #3
Half the Battle ,Elle Thorpe,Saint View Psychos #2
"Hating Game, The",,
Haunting Adeline,H.D. Carlton,Cat and Mouse Duet #1
Heir of Uncertain Magic,Charlie N. Holmberg,Whimbrel House #2
Hero,Jolie Vines,Marry the Scot #3
Highly Suspicious and Unfairly Cute,Talia Hibbert,
"Holiday Hookup, The",Amanda Bentley,Festive Fun #1
"Hook, Line, and Sinker",Tessa Bailey,Bellinger Sisters #2
Hooked,Emily McIntire,A Never After Novel
Icebreaker,Hannah Grace,Maple Hills #1
Ignite Me,Taherah Mafi,Shatter Me Series #3
It Ends with Violence,Elle Thorpe,Saint View Psychos #3
It Happened One Summer,Tessa Bailey,Bellinger Sisters #1
Just Haven't Met You Yet,,
Keeper of Enchanted Rooms ,Charlie N. Holmberg,Whimbrel House #1
"Last Thing He Told Me, The",,
Let It Snow,,
"Librarian of Crooked Lane, The",C.J. Archer,Glass Library #1
"Little Shop of Found Things, The",Paula Brackston,Found Things #1
Lola & the Millionaires: Part One,Kathryn Moon,Sweetverse
Lola & the Millionaires: Part Two,Kathryn Moon,Sweetverse
"Long Time Coming, A",Meghan Quinn,Cane Brothers #3
Love at First Psych,Cara Bastone,
Love Her or Lost Her,Tessa Bailey,Hot & Hammered #2
"Love Hypothesis, The",Ali Hazelwood,
"Love Most, Say Least",Jolie Vines,Marry the Scot #2
Love on the Brain,Ali Hazelwood,
Lyrical,Bea Paige,Academy of Stardom #2
Matched,,Misfit Brides #2
Meet Me in the Margins,,
Meet Me There,Judy Corry,Ridgewater High #1
Mercy,Sara Cate,Salacious Players Club #4
Merged With Him,,Merge #1
Mister McHottie,Pippa Grant,Girl Band #1
My Killer Vacation,Tessa Bailey,
Nanny for the Army Rangers,,
Nanny for the Neighbors,Lily Gold,
Never Date a Player,Julie Barnard,Never Date #2
Never Date Your Best Friend,Julie Barnard,Never Date #4
Never Date Your Brother's Best Friend,Julie Barnard,Never Date #1
Never Date Your Enemy,Julie Barnard,Never Date #5
Never Date Your Ex,Julie Barnard,Never Date #3
Never Marry Your Best Friend's Brother,Lauren Landish,Never Say Never #1
Pay-Per-Heart,Grace McGinty,
"Playmaker, The",,A Big Play Novel #1
Practice Makes Perfect,Sarah Adams,
Praise,Sara Cate,Salacious Players Club #1
Primal Urges ,Bex Dawn,Carnal Expectations #2
"Proposal They Can't Refuse, A",,Vega Family Love Stories #1
Puck One Night Stands,Emma Foxx,Chicago Racketeers #1
Pucking Around,Emily Rath,Jacksonville Rays #1
Pucking Ever After: Volume 1,Emily Rath,Jacksonville Rays #1.5
Read Me,Lauren Connolly,Forget the Past #2
Reagandoodle and Little Buddy,,
Real Like Daydreams,Julia Wolf,Savage U #4
Reality Check,Evie Mitchell,Larsson Sibling Series
Released,Rosa Lee,Highgate Preparatory Academy #3
Rescue Me,Lauren Connolly,Forget the Past #1
Resist Me,Lauren Connolly,Forget the Past #3
Restore Me,Taherah Mafi,Shatter Me Series #4
Rhapsodic,Laura Thalassa,The Bargainer Series
Royally Not Ready,Meghan Quinn,Not Really Royal #1
Ruin,Jolie Vines,Dark Island Scots #1
Runaway Girl,Tessa Bailey,Girl #2
Runaway Groomsman,Meghan Quinn,
Ruthless Knight,Ashley Jade,Royal Hearts Academy #2
Sabotage,Shantel Tessier,
Scar,Jolie Vines,Dark Island Scots #3
Scarlet,Marissa Meyer,The Lunar Chronicles #2
Scarred ,Emily McIntire,A Never After Novel
Secretly Yours,Tessa Bailey,A Vine Mess #1
Secrets We Keep,Angel Lawson,Thistle Cove #1
Shadow Kiss,,Vampire Academy #3
Shadow Me,Taherah Mafi,Shatter Me Series #4.5
Shared,Krista Wolf,
Shatter Me,Taherah Mafi,Shatter Me Series #1
Signs of Cupidity,Raven Kennedy,Heart Hassle #1
Sin,Jolie Vines,Dark Island Scots #2
Smittened,,Misfit Brides #3
Snowed In,,
Soft Like Thunder,Julia Wolf,Savage U #1
"Spanish Love Deception, The",,Spanish Love Deception #1
Start a War,Elle Thorpe,Saint View Psychos #1
Stealing Home,Grace Reilly,Beyond the Play Book #3
Storm Front,,The Dresden Files #1
Storm the Castle,Jolie Vines,Marry the Scot #1
Stuck with You,Ali Hazelwood,The STEMinist Novellas #2
Stud in the Stacks,Pippa Grant,Girl Band #2
Sweet Like Poison,Julia Wolf,Savage U #3
That Forever Girl,Meghan Quinn,Getting Lucky #2
That One Night,Emily Rath,Jacksonville Rays #0.5
That Second Chance,Meghan Quinn,Getting Lucky #1
That Secret Crust,Meghan Quinn,Getting Lucky #3
That Swoony Feeling,Meghan Quinn,Getting Lucky #4
The A-List,Evie Mitchell,Larsson Sibling Series
The American Roommate Experiment,Elena Armas,
The Arrangement,Krista Wolf,
The Bodyguard,,
The Bookish Life of Nina Hill,,
The Boy Who Didn't Come Home,,The Hazel Wood #1.5
The Bride Test,,
The Burnout,Sophie Kinsella,
The Christmas Contract,Evie Mitchell,Larsson Sibling Series
The Dark One,Nikki St. Crowe,Vicious Lost Boys #2
The Darkling Bride,,
The Flatshare,,
The Forward Line,K.G. Erin,
The Hazel Wood,,The Hazel Wood #1 
The Heart Priniciple,,
The Highland Fling,Meghan Quinn,
The Inheritance,Cassie Cole,
The Kiss Quotient,,
The Love Theorem ,Camilla Isley,
The Never King,Nikki St. Crowe,Vicious Lost Boys #1
The One Who Loves You,Pippa Grant,Ticked Pink #1
The Orchard,,
The Rain King,Selena,
The Roommate,,
The Summer Knight,,The Dresden Files #4
The Wild One,Daisy Jane,The Wrench Kings #1
The Worst Wedding Date,Pippa Grant,
The X-List,Evie Mitchell,Larsson Sibling Series
Their Vicious Darling,Nikki St. Crowe,Vicious Lost Boys #3
Theirs to Keep,Krista Wolf,
Thorne Princess,L.J. Shen,
Three Swedish Mountain Men,Lily Gold,
Thunder Thighs,Evie Mitchell,Larsson Sibling Series
Tools of Engagement,Tessa Bailey,Hot & Hammered #3
Triple-Duty Bodyguards,Lily Gold,
Truth in My Lies,,Secrets of Suburbia #1
Twisted,Emily McIntire,A Never After Novel
Twisted Games,Ana Huang,Twisted #2
Twisted Hate,Ana Huang,Twisted #3
Twisted Love,Ana Huang,Twisted #1
Ugly Love,Colleen Hoover,
Under One Roof,Ali Hazelwood,The STEMinist Novellas #1
Unfortunately Yours,Tessa Bailey,A Vine Mess #2
Unravel Me,Taherah Mafi,Shatter Me Series #2
Until I Get You,Claire Contreras,
Until Lilly,Aurora Rose Reynolds,Until #3
Until Nico,Aurora Rose Reynolds,Until #4
Until November,Aurora Rose Reynolds,Until #1
Until Trevor,Aurora Rose Reynolds,Until #2
Vacation Wars,Meghan Quinn,
Vampire Academy,,Vampire Academy #1
"Wager, The",,
Weak Side,SJ Sylvis,
What Happens in Vegas,Krista Wolf,
Window Shopping,Tessa Bailey,
Winter,Marissa Meyer,The Lunar Chronicles #4
Witches Get Stuff Done,Molly Harper,Starfall Point #1
Wretched ,Emily McIntire,A Never After Novel
Defy Me,Taherah Mafi,Shatter Me Series #5
Reveal Me,Taherah Mafi,Shatter Me Series #5.5
Twisted Lies,Ana Huang,Twisted #4
A Lady of Rooksgrave Manor,Kathryn Moon,Tempting Monsters #1
My Life with the Walter Boys,Ali Novak,
Neon Gods,Katee Robert,
Chase Me ,Tessa Bailey,
Fourth Wing,Rebecca Yarros,
Imagine Me ,Taherah Mafi,Shatter Me Series #6
Believe Me,Taherah Mafi,Shatter Me Series #6.5
Sheer Cupidity ,Raven Kennedy,Heart Hassle #5
The Company of Fiends,Kathryn Moon,Tempting Monsters #2
The Basilisk of Star Manor,Kathryn Moon,Tempting Monsters #2.5
Sanctuary with Kings,Kathryn Moon,Tempting Monsters #3
The Fae Princes,Nikki St. Crowe,Vicious Lost Boys #4
Stepbrothers' Darling,K.A. Knight,
The Duke And I ,Julia Quinn,Bridgertons #1
Dark Fae,"Caroline Peckham, Susanne Valenti",Ruthless Boys of the Zodiac #1
Savage Fae,"Caroline Peckham, Susanne Valenti",Ruthless Boys of the Zodiac #2
Vicious Fae,"Caroline Peckham, Susanne Valenti",Ruthless Boys of the Zodiac #3
The Viscount Who Loved Me,Julia Quinn,Bridgertons #2
The Perfect Fit,Sadie Kincaid,
An Offer From a Gentleman,Julia Quinn,Bridgertons #3
Broken Fae,"Caroline Peckham, Susanne Valenti",Ruthless Boys of the Zodiac #4
Romancing Mr. Bridgerton,Julia Quinn,Bridgertons #4
My Three Roommates ,Bianca Vix,
Caged Wolf,"Caroline Peckham, Susanne Valenti",Darkmore Penitentiary #1
Alpha Wolf,"Caroline Peckham, Susanne Valenti",Darkmore Penitentiary #2
Feral Wolf,"Caroline Peckham, Susanne Valenti",Darkmore Penitentiary #3
"Love, Theoretically",Ali Hazelwood,
Showdown,Ted Dekker,
Beastars ,Paru Itagaki,Beastars #1
Beastars ,Paru Itagaki,Beastars #2
Beastars ,Paru Itagaki,Beastars #3
Beastars ,Paru Itagaki,Beastars #4
Beastars ,Paru Itagaki,Beastars #5
Beastars ,Paru Itagaki,Beastars #6
Assisting My Brother's Best Friend,Judy Corry,Rich & Famous #1
The Mysterious Benedict Society,Trenton Lee Stewart,The Mysterious Benedict Society #1
Witchling,Yasmine Galenorn,Otherworld Series #1
Changeling,Yasmine Galenorn,Otherworld Series #2
Darkling,Yasmine Galenorn,Otherworld Series #3
Beastars ,Paru Itagaki,Beastars #7
Iron Flame,Rebecca Yarros,
Dragon Wytch,Yasmine Galenorn,Otherword Series #4
Night Huntress,Yasmine Galenorn,Otherworld Series #5
Demon Mistress,Yasmine Galenorn,Otherword Series #6
Bone Magic,Yasmine Galenorn,Otherworld Series #7
Harvest Hunting,Yasmine Galenorn,Otherworld Series #8
Heaven's Wager,Ted Dekker,Martyr's Song #1
Blood Wyne,Yasmine Galenorn,Otherworld Series #9
Hollywood and Ivy,Judy Corry,Rich & Famous #2
When Heaven Weeps,Ted Dekker,Martyr's Song #2
Courting Darkness,Yasmine Galenorn,Otherworld Series #10
Thunder of Heaven,Ted Dekker,Martyr's Song #3
Shaded Vision,Yasmine Galenorn,Otherword Series #11
Shadow Rising,Yasmine Galenorn,Otherword Series #12
Throne of Glass,Sarah J. Maas,Throne of Glass #1
Crown of Midnight,Sarah J. Maas,Throne of Glass #2
Haunted Moon,Yasmine Galenorn,Otherworld Series #13
Heir of Fire ,Sarah J. Maas,Throne of Glass #3
Bride,Ali Hazelwood,
Queen of Shadows,Sarah J. Maas,Throne of Glass #4
Empire of Storms,Sarah J. Maas,Throne of Glass #5
Tower of Dawn,Sarah J. Maas,Throne of Glass #6
Kingdom of Ash,Sarah J. Maas,Throne of Glass #7
The Housemaid,Freida McFadden,The Housemaid #1
A Strange Hymn ,Laura Thalassa,The Bargainer Series #2
The Cinnamon Bun Book Store,Laurie Gilmore,Dream Harbour Series #2
House of Earth and Blood,Sarah J. Maas,Crescent City #1
The Three-Body Problem,Cixin Liu,The Three-Body Problem #1
House of Sky and Breath,Sarah J. Maas,Crescent City #2
Spark of the Everflame,Penn Cole,The Kindred's Curse Saga #1
House of Flame and Shadow,Sarah J. Maas,Crescent City #3
Glow of the Everflame,Penn Cole,The Kindred's Curse Saga #2
Onyx Storm,Rebecca Yarros,The Empyrean #3
The Cruel Prince,Holly Black,The Folk of the Air #1
A Curse of Fate,Jaymin Eve,Shifter City Fated Mates #1
The Wicked King,Holly Black,The Folk of the Air #2
A Twist of Luck,Jaymin Eve,Shifter City Fated Mates #2
Bitter Notes,Aly Beck,Second Sets #1
Sweet Strings,Aly Beck,Second Sets #2
The Queen of Nothing,Holly Black,The Folk of the Air #3
Ice Planet Barbarian,Ruby Dixon,Ice Planet Barbarians #1
Barbarian Alien,Ruby Dixon,Ice Planet Barbarians #2
Barbarian Lover,Ruby Dixon,Ice Planet Barbarians #3
Barbarian Mine,Ruby Dixon,Ice Planet Barbarians #4
Barbarian's Prize,Ruby Dixon,Ice Planet Barbarians #5
Barbarian's Mate,Ruby Dixon,Ice Planet Barbarians #6
Detour,A. Marie,Creekwood Series #1
Well Met,Jen DeLuca,
Barbarian's Touch,Ruby Dixon,Ice Planet Barbarians #7
Barbarian's Taming,Ruby Dixon,Ice Planet Barbarians #8
The Inheritance Games,Jennifer Lynn Barnes,The Inheritance Games #1
Mr. Wrong Number,Lynn Painter,
Hatchet,Gary Paulson,
Wreck the Halls,Tessa Bailey,
Curvy Girls Can't Date Rock Stars,Kelsie Stelting,The Curvy Girl Club #10
Curvy Girls Can't Date Surfers,Kelsie Stelting,The Curvy Girl Club #11
Barbarian's Heart,Ruby Dixon,Ice Planet Barbarians #9
Barbarian's Hope,Ruby Dixon,Ice Planet Barbarians #10
Barbarian's Choice,Ruby Dixon,Ice Planet Barbarians #11
Barbarian's Redemption,Ruby Dixon,Ice Planet Barbarians #12
Barbarian's Lady,Ruby Dixon,Ice Planet Barbarians #13
Barbarian's Rescue,Ruby Dixon,Ice Planet Barbarians #14
The Hawthorne Legacy,Jennifer Lynn Barnes,The Inheritance Games #2
Curvy Girls Can't Date Princes,Kelsie Stelting,The Curvy Girl Club #12
Barbarian's Tease,Ruby Dixon,Ice Planet Barbarians #15
The Barbarians Before Christmas ,Ruby Dixon,Ice Planet Barbarians #16
Barbarian's Beloved,Ruby Dixon,Ice Planet Barbarians #17
Don't Forget Me,Judy Corry,Ridgewater High Novel #3
Barbarian's Valentine,Ruby Dixon,Ice Planet Barbarians #18
My Second Chance,Judy Corry,Ridgewater High Novel #5
Barbarian's Seduction,Ruby Dixon,Ice Planet Barbarians #19
Barbarian's Treasure,Ruby Dixon,Ice Planet Barbarians #20
Barbarian's Bride,Ruby Dixon,Ice Planet Barbarians #21
It Was Always You,Judy Corry,A Ridgewater High Novel #4
Lauren's Barbarian,Ruby Dixon,Icehome #1
Veronica's Dragon,Ruby Dixon,Icehome #2
Willa's Beast,Ruby Dixon,Icehome #3
Gail's Family,Ruby Dixon,Icehome #4
Angie's Gladiator,Ruby Dixon,Icehome #5
Wild Wolf,Caroline Peckham & Susanne Valenti,Darkmore Penitentiary #4
Hannah's Hero,Ruby Dixon,Icehome #6
Devi's Distraction,Ruby Dixon,Icehome #7
Nadine's Companion,Ruby Dixon,Icehome #8
Callie's Catastrophe,Ruby Dixon,Icehome #9
Penny's Protector,Ruby Dixon,Icehome #10
Mari's Mistake,Ruby Dixon,Icehome #11
Raven's Return,Ruby Dixon,Icehome #12
Bridget's Bane,Ruby Dixon,Icehome #13
Steph's Outcast,Ruby Dixon,Icehome #14
Holes,Louis Sachar,
Mr. Popper's Penquins,Richard Atwater,
Black Beauty,Anna Sewell,
Sam's Secret,Ruby Dixon,Icehome #15
Daisy's Decision,Ruby Dixon,Icehome #16
Flor's Fiasco,Ruby Dixon,Icehome #17
Lone Wolf's Claim,L.E. Wilson,The Kincaid Werewolves #1
Beastars,Paru Itagaki,Beastars #8
Beastars,Paru Itagaki,Beastars #9
Beastars,Paru Itagaki,Beastars #10
Beastars,Paru Itagaki,Beastars #11
Beastars,Paru Itagaki,Beastars #12
Beastars,Paru Itagaki,Beastars #13
Beastars,Paru Itagaki,Beastars #14
R'jaal's Resonance,Ruby Dixon,Ice Planet Clones #1
Surviving Skarr,Ruby Dixon,Ice Planet Clones #2
Beastars,Paru Itagaki,Beastars #15
Beastars,Paru Itagaki,Beastars #16
Beastars,Paru Itagaki,Beastars #17
Beastars,Paru Itagaki,Beastars #18
Dungeons and Drama,Kristy Boyce,
A Claim of Fortune,Jaymin Eve,Shifter City Fated Mates #3
Romancing Rem'eb,Ruby Dixon,Ice Planet Clones #3
Corvak's Challenge,Ruby Dixon,Ice Planet Clones #4
Tethered,Elayna R. Gallea,The Binding Chronicles #1
Tormented,Elayna R. Gallea,The Binding Chronicles #2
Born for Silk,Nicci Harris,The Cradled Common #1
The Eye of the Minds,James Dashner,The Mortality Doctrine #1
Born for Lace,Nicci Harris,The Cradled Common #2
Raiders of the Lost Heart,Jo Segura,
Temple of Swoon,Jo Segura,
The Village Library Demon-Hunting Society,C.M. Waggoner,
A Praying Life,Paul Miller,
Quicksilver,Callie Hart,The Fae & Alchemy Series #1
I'm Afraid You've Got Dragons,Peter S. Beagle,
Compass and Blade,Rachel Greenlaw,
The List,AO3,
Bad Intentions,Mila Kane,
Powerless,Lauren Roberts,The Powerless Trilogy #1
Reckless,Lauren Roberts,The Powerless Trilogy #2
Fearless,Lauren Roberts,The Powerless Trilogy #3
Knotting With A Stranger,Harley Knight,Whispering Grove #1
Hot Knot Summer,Harley Knight,Whispering Grove #2
"Pumpking Spice, Knotty Nights",Harley Knight,Whispering Grove #3
Knot Beneath the Mistletoe,Harley Knight,Whispering Grove #4
Born for Marble,Nicci Harris,The Cradled Common #3
Hot for Slayer,Ali Hazelwood,
Falling,Christina Lauren,
Spicy Little Curses,J.T. Geissinger,
Space Vampire,Ruby Dixon,
Beautiful Nightmare,Katee Robert,
My Boyfriends Are All Monsters,Kimberly Lemming,
The Final Gambit,Jennifer Lynn Barnes,The Inheritance Games #3
Dungeon Crawler Carl,Matt Dinniman,DCC #1
Carl's Doomsday Scenario,Matt Dinniman,DCC #2
The Dungeon Anarchist's Cookbook,Matt Dinniman,DCC #3
The Gate of the Feral Gods,Matt Dinniman,DCC #4
Tangled in Tinsel & Knots ,Harley Knight,Whispering Grove #5
Model Behavior,Kelsie Rae,Wrecked Roommates #1
Forbidden Lyrics,Kelsie Rae,Wrecked Roommates #2
Messy Strokes,Kelsie Rae,Wrecked Roommates #3
Risky Business,Kelsie Rae,Wrecked Roommates #4
Kate's Crew,Jayne Rylon,Powertools #1
Morgan's Surprise,Jayne Rylon,Powertools #2
Kayla's Gift,Jayne Rylon,Powertools #3
Devon's Pair,Jayne Rylon,Powertools #4
Nailed to the Wall,Jayne Rylon,Powertools #5
Hammer it Home,Jayne Rylon,Powertools #6
King Cobra,Jayne Rylon,Hot Rods #1
Mustang Sally,Jayne Rylon,Hot Rods #2
Super Nova,Jayne Rylon,Hot Rods #3
Rebel on the Run,Jayne Rylon,Hot Rods #4
Swing Style,Jayne Rylon,Hot Rods #5
